t_s,a_g
0.000000,0.000000
0.002000,0.000001
0.004000,0.000003
0.006000,0.000008
0.008000,0.000015
0.010000,0.000021
0.012000,0.000033
0.014000,0.000051
0.016000,0.000067
0.018000,0.000083
0.020000,0.000117
0.022000,0.000132
0.024000,0.000163
0.026000,0.000189
0.028000,0.000213
0.030000,0.000275
0.032000,0.000289
0.034000,0.000397
0.036000,0.000396
0.038000,0.000423
0.040000,0.000486
0.042000,0.000584
0.044000,0.000722
0.046000,0.000802
0.048000,0.000831
0.050000,0.001023
0.052000,0.001077
0.054000,0.001100
0.056000,0.001239
0.058000,0.001254
0.060000,0.001283
0.062000,0.001674
0.064000,0.001805
0.066000,0.002013
0.068000,0.001877
0.070000,0.001930
0.072000,0.002304
0.074000,0.002421
0.076000,0.002444
0.078000,0.002729
0.080000,0.002765
0.082000,0.002730
0.084000,0.002842
0.086000,0.003230
0.088000,0.003228
0.090000,0.003171
0.092000,0.003204
0.094000,0.003427
0.096000,0.003128
0.098000,0.003133
0.100000,0.003228
0.102000,0.003456
0.104000,0.003502
0.106000,0.003302
0.108000,0.003567
0.110000,0.003911
0.112000,0.003897
0.114000,0.003571
0.116000,0.003670
0.118000,0.003898
0.120000,0.004296
0.122000,0.003786
0.124000,0.004408
0.126000,0.004208
0.128000,0.004397
0.130000,0.005109
0.132000,0.004692
0.134000,0.004867
0.136000,0.005043
0.138000,0.005214
0.140000,0.005981
0.142000,0.005201
0.144000,0.005697
0.146000,0.006632
0.148000,0.006060
0.150000,0.007230
0.152000,0.006164
0.154000,0.006533
0.156000,0.006963
0.158000,0.007381
0.160000,0.007706
0.162000,0.008178
0.164000,0.008034
0.166000,0.008809
0.168000,0.008831
0.170000,0.008859
0.172000,0.009983
0.174000,0.009432
0.176000,0.008662
0.178000,0.008946
0.180000,0.009106
0.182000,0.009242
0.184000,0.009787
0.186000,0.009950
0.188000,0.009818
0.190000,0.010927
0.192000,0.010084
0.194000,0.011412
0.196000,0.012016
0.198000,0.012337
0.200000,0.012236
0.202000,0.012616
0.204000,0.013030
0.206000,0.014628
0.208000,0.013134
0.210000,0.013563
0.212000,0.015226
0.214000,0.016092
0.216000,0.015871
0.218000,0.016876
0.220000,0.016374
0.222000,0.019067
0.224000,0.020222
0.226000,0.020043
0.228000,0.018785
0.230000,0.023939
0.232000,0.021528
0.234000,0.023387
0.236000,0.023468
