t_s,pos_mm
0.000000,0.000000
0.020000,0.003796
0.040000,0.017966
0.060000,0.043818
0.080000,0.074732
0.100000,0.109517
0.120000,0.141162
0.140000,0.169114
0.160000,0.198633
0.180000,0.253930
0.200000,0.323444
0.220000,0.418219
0.240000,0.539626
0.260000,0.670023
0.280000,0.778482
0.300000,0.827951
0.320000,0.914753
0.340000,0.904070
0.360000,0.966286
0.380000,1.102083
0.400000,1.364368
0.420000,1.700376
0.440000,2.239953
0.460000,2.813206
0.480000,3.364578
0.500000,3.744831
0.520000,4.016678
0.540000,4.037631
0.560000,3.790460
0.580000,3.407850
0.600000,2.854314
0.620000,2.300518
0.640000,1.850394
0.660000,1.398674
0.680000,1.067678
0.700000,0.605368
0.720000,0.021744
0.740000,-0.767900
0.760000,-1.786994
0.780000,-2.919393
0.800000,-4.118073
0.820000,-5.319226
0.840000,-6.091916
0.860000,-6.505244
0.880000,-6.570156
0.900000,-6.276762
0.920000,-5.603633
0.940000,-4.934101
0.960000,-4.344759
0.980000,-3.973826
1.000000,-3.770043
1.020000,-3.871807
1.040000,-4.146005
1.060000,-4.477202
1.080000,-4.448290
1.100000,-4.436170
1.120000,-4.065491
1.140000,-3.917355
1.160000,-3.521568
1.180000,-3.340260
1.200000,-3.338396
1.220000,-3.701014
1.240000,-4.337611
1.260000,-4.993034
1.280000,-5.531356
1.300000,-6.043537
1.320000,-6.056897
1.340000,-5.756681
1.360000,-4.791780
1.380000,-3.745753
1.400000,-2.463182
1.420000,-1.070188
1.440000,0.078264
1.460000,0.832427
1.480000,1.546816
1.500000,2.200893
1.520000,2.762848
1.540000,3.330329
1.560000,4.215581
1.580000,5.199604
1.600000,6.246244
1.620000,7.146327
1.640000,7.950280
1.660000,8.214564
1.680000,8.192211
1.700000,7.765186
1.720000,6.884388
1.740000,5.941233
1.760000,4.919823
1.780000,4.071719
1.800000,3.538144
1.820000,3.421434
1.840000,3.485380
1.860000,3.743141
1.880000,3.797751
1.900000,3.832143
1.920000,3.697971
1.940000,3.309853
1.960000,2.917990
1.980000,2.606154
2.000000,2.338841
2.020000,2.293104
2.040000,2.575878
2.060000,2.985294
2.080000,3.510670
2.100000,3.874027
2.120000,3.962443
2.140000,3.613534
2.160000,2.802950
2.180000,1.671782
2.200000,0.310802
2.220000,-1.017558
2.240000,-2.390913
2.260000,-3.503701
2.280000,-4.249158
2.300000,-4.756820
2.320000,-5.137800
2.340000,-5.603476
2.360000,-6.026573
2.380000,-6.630467
